Sample,Study,Disease/Tissue,TNF,MS4A1,EGFR,VEGFA,ERBB2,CTLA4,PDCD1,IL6,TNFSF11,PCSK9
GTEX-S4Q7-0003-SM-3NM8M,GTEX,Cells,11.24,15.81,5.69,14.29,9.428,3.083,10.13,2.111,7.488,2.58
TCGA-S9-A7J2-01,TCGA,Brain Lower Grade Glioma,7.504,0.7385,14.31,10.55,10.23,0.0,1.225,2.506,0.0,4.828
GTEX-QV31-1626-SM-2S1QC,GTEX,Artery,0.0,2.936,12.06,11.44,11.68,0.0,2.443,6.916,0.0,3.596
TCGA-G3-A3CH-11,TCGA,Liver Hepatocellular Carcinoma,4.249,6.975,12.44,11.76,12.32,6.03,7.194,3.124,8.083,9.694
GTEX-13OVI-1026-SM-5L3EM,GTEX,Uterus,2.912,3.516,12.32,12.35,10.9,2.637,4.615,5.328,0.0,0.0
GTEX-13OW5-0626-SM-5J2N2,GTEX,Thyroid,1.919,4.651,11.43,15.44,13.0,3.074,5.509,7.964,0.0,0.9468
GTEX-XUZC-2026-SM-4BRW9,GTEX,Artery,2.412,2.412,12.04,10.38,12.96,1.957,1.957,5.21,1.287,1.287
TCGA-EK-A2RE-01,TCGA,Cervical & Endocervical Cancer,6.392,1.09,13.92,13.03,12.4,4.452,2.133,4.95,3.405,10.87
TCGA-44-6778-01,TCGA,Lung Adenocarcinoma,6.383,11.03,10.91,11.91,11.09,9.032,8.054,9.854,4.041,7.956
TCGA-F4-6854-01,TCGA,Colon Adenocarcinoma,4.664,5.065,11.1,12.79,13.23,5.337,6.371,7.676,6.663,8.135
TCGA-AB-2863-03,TCGA,Acute Myeloid Leukemia,0.0,8.126,3.625,10.58,7.208,3.766,4.965,0.0,0.0,0.0
TCGA-C8-A1HL-01,TCGA,Breast Invasive Carcinoma,3.954,4.653,8.622,11.37,14.69,4.455,2.73,3.876,4.944,2.077
TCGA-EW-A2FS-01,TCGA,Breast Invasive Carcinoma,8.328,9.727,9.782,12.51,13.98,6.83,6.847,9.377,4.901,3.21
GTEX-ZAKK-0326-SM-5EGHA,GTEX,Muscle,2.795,3.687,11.0,11.58,11.93,0.0,2.311,7.041,0.0,1.576
GTEX-1399S-1726-SM-5L3DI,GTEX,Lung,6.603,7.513,12.86,13.22,12.1,6.866,6.603,6.994,1.661,10.25
GTEX-ZF29-0926-SM-4WKFZ,GTEX,Skin,4.872,3.733,14.1,10.7,13.75,4.37,3.978,5.54,1.157,5.461
TCGA-05-4420-01,TCGA,Lung Adenocarcinoma,5.141,4.487,11.2,13.39,13.61,3.841,5.289,9.177,7.938,4.181
GTEX-13W3W-2626-SM-5SIA2,GTEX,Muscle,2.966,4.172,10.11,14.87,10.13,0.0,2.611,4.172,0.0,0.0
GTEX-WHPG-0226-SM-3NMB9,GTEX,Thyroid,0.9658,5.815,11.34,15.27,12.85,3.109,4.887,10.65,2.528,1.539
TCGA-2G-AAFZ-01,TCGA,Testicular Germ Cell Tumor,3.57,3.847,11.9,11.56,13.46,3.928,5.53,5.113,5.542,8.302
GTEX-P44H-0526-SM-2XCF1,GTEX,Nerve,0.0,5.685,12.97,11.21,12.82,4.138,4.505,8.727,0.0,4.955
GTEX-ZDYS-0826-SM-4WWCR,GTEX,Esophagus,4.695,7.852,13.15,11.55,13.46,6.61,6.793,4.522,3.057,10.23
TCGA-DX-A3U8-01,TCGA,Sarcoma,4.964,3.126,7.394,11.06,11.93,5.523,5.924,4.678,2.873,2.383
TCGA-GL-8500-01,TCGA,Kidney Papillary Cell Carcinoma,5.696,1.878,11.96,10.62,13.55,3.277,3.911,1.588,0.0,0.7389
GTEX-13OVJ-0011-R1b-SM-5L3I6,GTEX,Brain,3.751,2.854,11.09,12.72,11.04,4.051,5.479,9.433,0.0,2.504
TCGA-CC-A3MA-01,TCGA,Liver Hepatocellular Carcinoma,3.416,2.897,12.31,13.66,12.8,2.463,2.767,1.553,3.128,3.862
GTEX-TSE9-0126-SM-3DB83,GTEX,Skin,5.562,4.871,13.87,12.13,13.15,4.43,3.122,6.028,1.836,5.78
TCGA-BR-A4J6-01,TCGA,Stomach Adenocarcinoma,1.117,6.762,11.42,12.01,13.52,4.832,5.173,3.731,6.924,9.691
GTEX-RU1J-1926-SM-2TF6S,GTEX,Artery,2.021,2.482,13.37,13.66,11.64,2.482,2.831,3.549,0.0,0.0
TCGA-KK-A6E4-01,TCGA,Prostate Adenocarcinoma,3.119,5.486,10.37,9.776,12.5,5.383,5.273,6.283,1.725,2.838
TCGA-IN-7808-01,TCGA,Stomach Adenocarcinoma,7.218,14.14,11.07,11.79,10.84,9.102,9.203,9.915,8.583,8.513
TCGA-L5-A4OH-01,TCGA,Esophageal Carcinoma,4.812,5.172,13.7,12.98,13.68,5.814,4.669,4.17,6.759,11.46
TCGA-RP-A695-06,TCGA,Skin Cutaneous Melanoma,4.292,2.934,4.518,10.48,11.12,5.528,6.814,1.87,1.581,7.092
TCGA-A4-7828-01,TCGA,Kidney Papillary Cell Carcinoma,9.196,5.138,12.82,16.48,13.29,4.883,3.892,13.97,3.81,2.09
TARGET-20-PARXMP-09,TARGET,Acute Myeloid Leukemia,9.162,11.14,0.0,11.89,8.054,5.82,4.543,6.727,1.141,3.492
GTEX-POMQ-0006-SM-5SI7D,GTEX,Whole Blood,9.616,11.16,3.976,9.373,6.574,6.164,6.278,1.981,2.785,1.981
TCGA-B9-A8YH-01,TCGA,Kidney Papillary Cell Carcinoma,4.445,3.911,12.79,10.63,13.94,4.015,6.21,2.053,3.474,0.6431
GTEX-11P7K-0326-SM-59871,GTEX,Lung,5.483,5.16,11.9,12.67,12.22,6.836,6.271,8.059,1.085,9.983
TCGA-E1-A7YI-01,TCGA,Brain Lower Grade Glioma,1.432,1.092,9.188,11.94,9.586,3.688,3.246,5.917,0.0,0.6471
TCGA-PC-A5DM-01,TCGA,Sarcoma,4.612,0.0,10.86,14.74,11.34,4.676,3.466,5.012,0.0,10.78
TCGA-BR-A4QL-01,TCGA,Stomach Adenocarcinoma,3.612,5.247,11.27,12.06,12.65,5.659,6.038,6.189,6.202,11.09
TCGA-CH-5751-01,TCGA,Prostate Adenocarcinoma,5.864,11.44,12.74,12.52,11.57,7.372,7.926,6.639,3.532,1.865
TCGA-A2-A3XX-01,TCGA,Breast Invasive Carcinoma,5.697,9.058,10.19,14.12,13.66,7.207,6.666,5.731,6.153,6.117
GTEX-QXCU-0626-SM-2TC69,GTEX,Lung,7.086,8.014,12.93,13.08,11.95,6.449,7.209,9.502,1.331,9.593
TCGA-DQ-5624-01,TCGA,Head & Neck Squamous Cell Carcinoma,7.951,3.291,16.26,11.27,12.3,7.915,4.953,9.351,6.457,7.684
TCGA-KK-A7B3-01,TCGA,Prostate Adenocarcinoma,3.493,4.717,11.58,12.2,13.22,5.631,5.69,3.807,1.61,1.244
GTEX-1269C-2626-SM-5EQ5C,GTEX,Muscle,4.54,1.597,10.35,15.31,11.27,1.597,1.597,6.936,2.336,0.0
TCGA-DQ-7591-01,TCGA,Head & Neck Squamous Cell Carcinoma,8.526,10.25,13.25,12.58,13.68,9.08,8.644,5.776,6.503,10.66
